year,Achillea millefolium,Aconitum columbianum,Amelanchier pumila,Amerosedum lanceolatum,Androsace septentrionalis,Anticlea elegans,Arabis drummondii,Arenaria congesta,Campanula rotundifolia,Cardamine cordifolia,Castilleja sulphurea,Claytonia lanceolata,Collomia linearis,Delphinium barbeyi,Delphinium nuttallianum,Dodecatheon pulchellum,Draba aurea,Dugaldia hoopesii,Erigeron flagellaris,Erigeron speciosus,Eriogonum subalpinum,Eriogonum umbellatum,Erysimum asperum,Erythronium grandiflorum,Fragaria virginiana,Galium boreale,Geranium richardsonii,Helianthella quinquenervis,Heliomeris multiflora,Heterotheca villosa,Hydrophyllum capitatum,Hydrophyllum fendleri,Lathyrus leucanthus,Ligularia bigelovii,Ligusticum porteri,Linum lewisii,Lupinus sp,Mahonia repens,Maianthemum stellatum,Mertensia ciliata,Mertensia fusiformis,Noccaea montanum,Oligosporus dracunculus,Oreochrysum parryi,Pedicularis bracteosa,Potentilla gracilis v pulcherrima,Potentilla hippiana,Pseudocymopterus montanus,Pyrrocoma crocea,Ranunculus inamoenus,Salix monticola,Sedum rosea,Senecio integerrimus,Taraxacum officinale,Valeriana capitata,Valeriana edulis,Vicia americana,Viola praemorsa,Descarainia richardsonii,Gentiana parryi,Heracleum maximum,Lomatium dissectum,Paxistima myrsinites
1996,218.5454545,208.3870968,174.625,199.8823529,167.9008621,199.1888112,178.0909091,199.4063886,213.5,185.9125,193.9807692,151.3508728,198.4230769,200.5668203,170.1703297,180,183.2558923,208.6551724,NA,208.8923077,192.7,186.122449,185.4347826,155.46875,172.7142857,212.8333333,203.2641509,202.969697,226.5,213.5351682,162.8939394,180.8,182.6229508,213.2439024,193.4074074,199.8571429,193.8881579,159.2302158,NA,192.257329,158.6694215,159.1086519,220.9,211.6666667,NA,204.0140187,205.6666667,183,209.8,165.6153846,157.5742574,NA,177.2,173.5510204,173.4848485,195.8275862,192.6774194,164.3095238,NA,234,204.8666667,156.5,157.5974026
1997,232.7142857,213.5483871,175.7379679,200.4285714,176.0431655,202.9846154,177.7142857,205.0052083,226.8,187.3671875,207.8333333,152.4533262,238.5054945,207.8252427,174.0894309,182.8888889,184.7126437,216.3478261,NA,215.3320158,193.6451613,188.5454545,NA,155.5433071,173.175,225.0625,208.1333333,207.6923077,229,216.0284091,168.556962,180.5454545,186.877551,220.5483871,195.875,205.5769231,193.8552632,163.0746269,184,194.1293532,162.9889026,163.7969349,239.1,220.6164384,NA,208.7365854,211.6666667,191.2857143,214.6190476,170.9210526,163.4897119,NA,177.0851064,170.8,178.1428571,200.2380952,197.4814815,168.8434783,204,250.4230769,207.7,NA,158.8918919
1998,224.15,207.8490566,171.7878788,196.8108108,169.781457,199.962406,179.8571429,193.5436893,219.375,183.3760684,193.2380952,143.341592,215.1142857,205.5698925,165.3471074,184.6666667,176.808952,206.9694656,NA,212.3213368,187.6842105,185.3783784,191.4814815,148.4307692,173.1428571,206.5,204.3684211,205.25,228.4,216.200692,159.2876712,189,178.6564885,215.4695652,190.5625,197.6060606,192.8074074,153.371134,181.5,189.4229452,155.7167139,158.3246471,221.1190476,214.9365079,NA,198.6440072,198.1086957,180.6666667,219.5384615,160.5555556,156.2988166,180.5,173.4347826,165.5283019,170.3333333,193.7804878,193.6774194,160.0561798,196,229.6666667,201.5909091,153.5,153.1927083
1999,227.4375,213.9550562,173.8965517,208.7916667,173.1125954,205.8969649,182.2307692,205.2628319,220.5,186.5764706,189.75,151.7270239,214.6893204,205.7808219,175.6232558,185.1363636,182.5126382,207.969697,186.5862069,217.9581368,198.625,189.5735294,199.2197802,156.3258427,176.1304348,214.3913043,200.8898305,206.7882353,234.4722222,226.3105951,167.3923077,191.9230769,187.4553571,222.67,196.8684211,201.7883212,204.0714286,161.8333333,182.7857143,198.4677419,159.8648069,161.5798784,231.362069,219,NA,207.0033784,214.0634921,189.5,213.5384615,167.0357143,163.797075,184.5,179,172.6153846,174.8412698,186.2857143,193.2659574,166.4252336,212,242,205.8461538,172.5,157
2000,214.4285714,204.0136986,155.6601942,193.3452381,154.8161058,197.0988836,157.1428571,193.705833,211.875,174,NA,137.2106061,202.0714286,194.9049296,159.8645833,176.5806452,167.1483696,198.8870968,NA,200.5740741,178,176.3333333,183.1311475,145.7307692,162,197.7692308,192.3333333,195.2222222,244,207.70625,153.3636364,182.2,161.6935484,206.7272727,188,188.8692308,194.5357143,150.8248175,172.2307692,184.9794118,147.1875,148.9055666,NA,NA,NA,193.1867322,194.4285714,174,205,153.040404,144.8424544,NA,165.2352941,159.7307692,160.5535714,166.1923077,181.9285714,155.3444444,195.7,219.3333333,194.1111111,154.3,147.8157895
2001,227,195.2222222,157.6585366,188.1363636,154.7277937,195.7619048,157.1666667,194.5904059,224,171.3333333,NA,138.9299647,217.875,195.3619632,158.7373737,176.3333333,167.0015798,202.1527778,225.9272727,211.984375,181.8333333,176.125,181.4,146.5901639,158,209.6666667,206.3043478,NA,227.8125,220.673913,153.15625,NA,162.5277778,212.25,186.12,193.875,203.9491525,147.92,169.5,181.2446809,148.347352,151.3010101,214.8666667,205.5660377,NA,193.2125984,206.3928571,173.875,204.5,153.04,148.7909398,NA,167.8181818,156.4189189,158.4754098,185.6666667,183.3333333,152.7037037,NA,228.9473684,197.5,154.6,147.8596491
2002,208,196.5,151.7,176,140.8209607,184.6923077,147.9642857,174.9292929,207,NA,199,124.0616016,NA,191.2913043,149.6296296,161.5,155.7019027,193.8181818,166,202.14,168,162.16,168,137.3333333,152.1,193,187.8,203,233,197.1333333,142.6875,176.1666667,156,NA,176.9444444,175.9090909,172.7142857,140.0410959,166.6666667,185.75,136.176,136.4681698,212.0952381,199.0810811,NA,183.5729167,200,177.3333333,197.2631579,141.4925373,145.4917127,NA,155.75,151.9210526,152.7341772,183.2307692,172.5405405,140.974359,NA,225.3333333,188.2727273,138,137.92
2003,215.1818182,199.5,160.826087,NA,167.6190476,192.9310345,160.0555556,189.2631579,210,181.1428571,201.5555556,143.2543673,194.6333333,205.1465614,165.556541,173.6428571,174.5425532,198.6428571,NA,210.4129747,186.4210526,180.35,187.2903226,148.1315789,168.0888889,216.5,197.6923077,192.4285714,227.8,203.1180556,156.9367089,173.8,175.2641509,209.6666667,190.1428571,189.4701987,184.28125,NA,174,177.8,152.9631579,156.6756757,222.2083333,213.515528,NA,192.0862069,194.1428571,179.2941176,204.05,162.1590909,152.4919679,NA,172.75,163.0746269,169.3770492,195.4545455,189.2045455,155.959596,NA,240.5,198,159,155.6666667
2004,221.7777778,208.2692308,154.4285714,192.1764706,156.9090909,NA,158.4285714,192.2194656,210.8333333,171.5,199.5555556,131.6156605,196.8666667,203.7979636,156.76,170,169.6272494,204.953125,208.5384615,205.8638393,191.7142857,169.5306122,188.0740741,142.3846154,160.8396947,212.3333333,198,249.7758621,231.9166667,211.7004405,145.8450704,169,171.1176471,216,187.3030303,193.0647773,172.68,138.6545455,NA,186,144.9420889,152.8,218.9,208.4823529,163.4285714,197.5684497,199,179.8888889,205.9787234,153.0098039,138.737426,NA,162.0882353,157.8018868,165.4455446,183.1111111,199.2,148.6956522,NA,235.0833333,201.8125,137,NA
2005,225.7142857,211.9130435,175.1666667,200.3783784,175.2471264,198.8297872,174.4,197.0441176,224.6666667,181.75,203.6842105,147.1218767,200.4137931,206.5496849,172.7135843,180.9047619,182.4574468,207.3207547,192.5333333,217.2187182,195.6428571,187.8387097,NA,153.2837838,176.0833333,224.8461538,202.6666667,206.9666667,238.0909091,223.3744681,167.0707071,184.7105263,187.902439,219.6666667,196.7,203.6732283,189.2984694,NA,NA,NA,159.6062176,164.7045455,227.2666667,224.0401146,NA,203.2847791,210,179.75,220,167.46,165.415608,NA,181.5,170.2,175.7125,206.5555556,194.673913,164.4746544,240,254,203.3333333,159.5,161.3333333
2006,215.5,202.1346154,153.4444444,186.5,157.0154639,189.8571429,160.0909091,187.7058824,213.3076923,168,192.8333333,135.5377267,202.9736842,190.2568306,155.0731707,168.9047619,167.4153846,200.625,173.7924528,210.2122642,179.04,171.0232558,180.1111111,142.6162791,161,210.7777778,197.8,193.2,232.3191489,218.7868852,152.0972222,164.5454545,165,211.5,183.84375,190.1333333,179.7647059,147.6333333,165,183.5,145.2320988,149.5882353,215.4774775,210.402439,166,193.2278481,199.5686275,175.875,200.5555556,149.8360656,148.8234854,NA,160.0769231,154.8461538,160.4155844,178.5,180.4615385,147.7918216,NA,228,192,NA,NA
2007,211.6666667,199.1549296,155.3333333,184,151.9849974,191.7,160.0416667,181.3029661,207.4285714,161.3,191.375,129.5064103,181.8815789,190.9911504,156.3793103,167.65,166.1428571,199.0243902,NA,209.0680473,176,170.4230769,175.5,137.487395,156.0714286,205.3333333,194.6153846,201.5,231.6923077,238.5,148.2148148,NA,174.4545455,211.3793103,181.875,182.8472222,176.8181818,143.9306931,NA,180.25,138.0899001,145.4489796,215.6296296,208.4583333,171.2857143,184.876494,191.2307692,180.6666667,201.2,149.2638889,143.989011,NA,166.3265306,151.6363636,159.4827586,186.5294118,182.5454545,147.6391753,208.4027778,232.3333333,194.5,146.6666667,159.25
2008,242.0869565,218.6474359,178.7407407,197.2,183.4557439,204.5909091,176.3928571,207.0435606,232.1,173.3888889,206.8,157.0085796,204,220.5578512,174.2169312,184.6666667,188.3295195,221.25,250.2692308,226.6137761,218,189.9230769,NA,170.7575758,177.6363636,228.2,207.8333333,213.75,234.8888889,225.6013986,171.8468468,195.8571429,198.2540323,229.0357143,214.3214286,217.6857143,198.8559078,168.0252101,183.25,195.2,169.4918567,176.1153846,239.8287671,NA,188.8787879,212.3547926,201.4285714,188.7142857,224.3255814,177.7428571,172.380057,188,176.875,179.7076923,187.94,210,201.0740741,184,NA,NA,209.3333333,NA,161
2009,221.075,211.7575758,165,201.2857143,172.0419162,197.5646259,169.0769231,196.660473,215.75,169.56,194.2,136.0020964,197.7857143,204.9224138,168.4084507,177.5862069,175.0220994,203.1724138,189.776824,213.1242938,195.3636364,186.2946429,188.4117647,146.5529412,169.7142857,207.7142857,196,200.25,210,215.5044563,161.4484536,183.4285714,185.75,212.0810811,191.0344828,194.1457286,187.6242775,152.6704545,177.2777778,187.6111111,147.6089744,155.8,217.6184211,NA,181.0555556,200.2923077,199.3333333,183.4285714,205.4736842,164.21875,152.0285171,172.7692308,184.6470588,160.4,169.18,191.6666667,202.4,154.7573529,NA,NA,195.5,157.5,NA
2010,215.5,205.95,170.7692308,195.8,169.0162602,197.0872093,163.9642857,190.8614994,217.5789474,166.744186,201.3333333,142.3652078,204,196.0076923,162.5263158,173.8139535,170.237037,202.1363636,191,208.8469657,183.2666667,180,179.7142857,147.0681818,166.0694444,204.3636364,199.5,202.5,235.65,218.4147583,157.8533333,NA,181.4772727,211.3461538,192.3218391,192.9015873,185.9642857,154.8139535,173.95,182.8571429,151.2093023,151.2752809,231.2045455,210.7757009,NA,198.3165829,195.3076923,176.3333333,204.6923077,153.7171717,156.115566,167.6666667,172.2352941,161.3809524,168.7265625,191.125,188.5869565,155.7536232,202.9782609,NA,201.3636364,163,NA
2011,233.9782609,217.8512397,179.8125,209.0769231,186.6287879,207.1136364,180.6,208.9080741,225.6428571,174.1276596,214.5,160.283983,211,216.5409836,179.6624473,189.8631579,188.9019746,213.7591837,213.1290323,224.4248573,210.6153846,200.2421053,198.3801653,164.9029126,180.6688742,214.7058824,209.0526316,213.4212598,232.9247312,224.6508929,175.337963,186.3684211,190.3996737,229.125,201.9,207.2385159,196.678245,171.2886598,188,192.6190476,168.3723285,170.7434944,228.3709677,223.936146,190.28125,210.1752577,215.5818182,191.5,217.8461538,171.9323144,168.9009434,187.7,188.5543478,177.4647887,182.5182927,200,200.5923077,171.5340909,186,NA,208.5,173,168.0821918
2012,222.5,NA,162.16,185.0769231,142.5102881,181.9142857,146.25,179,202.6666667,158.1666667,NA,123.632948,NA,NA,150.1440678,159.6206897,157.7777778,206.5,164.3092784,218.2608696,165.7272727,160.0571429,169.6226415,136.295082,148.4166667,NA,204,NA,231.8873239,222.4285714,141.4807692,NA,152,NA,172.6666667,183.5789474,NA,137,165.8666667,187.7777778,133.3719807,133.5759162,220.8125,188,NA,190.125,199.6666667,161.6,192,140.7307692,137.9602356,163,157.4594595,NA,150.0283019,170.5,191.3333333,140.957265,NA,NA,NA,NA,NA
